x,B
-0.2,0.00010707326795251954
-0.19,0.00012270853870767118
-0.18000000000000002,0.00014141234419806875
-0.17,0.00016393644721496308
-0.16,0.00019124972103241994
-0.15000000000000002,0.00022460774368481185
-0.14,0.00026564487572697503
-0.13,0.00031649425342333067
-0.12000000000000001,0.00037993963909077854
-0.11000000000000001,0.0004595970022286498
-0.1,0.0005601072145986253
-0.09000000000000001,0.0006872829037294337
-0.08000000000000002,0.0008480723502929681
-0.07,0.0010500535700620232
-0.06,0.0012999366275555486
-0.05000000000000002,0.0016003058387123797
-0.04000000000000001,0.0019439296072826543
-0.03,0.0023062616589401373
-0.020000000000000018,0.00264019962453149
-0.010000000000000009,0.002881346996250191
0.0,0.00297
0.009999999999999981,0.002881346996250191
0.01999999999999999,0.002640199624531491
0.03,0.0023062616589401373
0.03999999999999998,0.0019439296072826552
0.04999999999999999,0.0016003058387123806
0.06,0.0012999366275555486
0.07,0.0010500535700620232
0.08000000000000002,0.0008480723502929681
0.08999999999999997,0.0006872829037294342
0.09999999999999998,0.0005601072145986257
0.10999999999999999,0.00045959700222864995
0.12,0.0003799396390907786
0.13,0.00031649425342333067
0.14,0.00026564487572697503
0.15000000000000002,0.00022460774368481185
0.15999999999999998,0.00019124972103242002
0.16999999999999998,0.00016393644721496317
0.18,0.0001414123441980688
0.19,0.00012270853870767118
0.2,0.00010707326795251954
