x,a=R/2,a=R,a=2R
-0.2,0.0002218126209158126,0.0002460220306718884,0.0003634383703485179
-0.19,0.00025490103706572156,0.00028494172112303225,0.0004321243833540461
-0.18,0.0002946383454654776,0.0003321717048842275,0.0005178154637433701
-0.17,0.00034269027297343063,0.0003899039347528498,0.0006253046545986253
-0.16,0.00040121040291839227,0.00046098560538125936,0.0007605921596893917
-0.15,0.000472994765802414,0.0005491122465967075,0.0009308588948398995
-0.14,0.0005616817068938006,0.0006590527524128481,0.001143973216569024
-0.13,0.0006720015830795888,0.0007968752087468645,0.0014070098955080682
-0.12,0.0008100685558601376,0.0009700871178922568,0.001723014377420052
-0.11,0.0009836753839544312,0.0011874932021768115,0.0020853419514807233
-0.1,0.0012024825295501118,0.001458381498501496,0.0024701981061551
-0.09,0.0014778552199346568,0.0017903866016876168,0.002831449345563911
-0.08,0.001821866546050353,0.0021852281854642603,0.003105954739935003
-0.07,0.0022446767965801522,0.0026320696466739326,0.003235644875726975
-0.06,0.0027493562173210844,0.003100525331967902,0.0031978412496735218
-0.05,0.00332393690697155,0.0035395832663757394,0.003020139263622269
-0.04,0.003933106979063398,0.0038908613024784718,0.002765858661168787
-0.03,0.004516159677010129,0.004116109707574708,0.0025040368218812795
-0.02,0.004998527323065542,0.004220525638573015,0.0022875887424418143
-0.01,0.005314318744867779,0.00424832399415263,0.0021480089778485173
0.0,0.005423667247871314,0.0042503180116316005,0.0021001071401240464
0.0099999999999999,0.005314318744867781,0.00424832399415263,0.0021480089778485156
0.0199999999999999,0.0049985273230655465,0.004220525638573015,0.0022875887424418117
0.03,0.004516159677010129,0.004116109707574708,0.0025040368218812795
0.0399999999999999,0.003933106979063405,0.0038908613024784752,0.002765858661168784
0.0499999999999999,0.0033239369069715573,0.0035395832663757433,0.003020139263622266
0.06,0.0027493562173210844,0.003100525331967902,0.0031978412496735218
0.07,0.0022446767965801522,0.0026320696466739326,0.003235644875726975
0.08,0.001821866546050353,0.0021852281854642603,0.003105954739935003
0.0899999999999999,0.0014778552199346598,0.0017903866016876204,0.0028314493455639136
0.0999999999999999,0.0012024825295501146,0.0014583814985014993,0.0024701981061551045
0.1099999999999999,0.0009836753839544332,0.0011874932021768143,0.002085341951480727
0.12,0.0008100685558601376,0.0009700871178922568,0.001723014377420052
0.13,0.0006720015830795888,0.0007968752087468645,0.0014070098955080682
0.14,0.0005616817068938006,0.0006590527524128481,0.001143973216569024
0.15,0.000472994765802414,0.0005491122465967075,0.0009308588948398995
0.1599999999999999,0.000401210402918393,0.0004609856053812602,0.0007605921596893936
0.1699999999999999,0.0003426902729734313,0.00038990393475285046,0.0006253046545986266
0.18,0.0002946383454654776,0.0003321717048842275,0.0005178154637433701
0.19,0.00025490103706572156,0.00028494172112303225,0.0004321243833540461
0.2,0.0002218126209158126,0.0002460220306718884,0.0003634383703485179
