"Time (s) Magnetisk strøfelt,""Magnetic Field Strength (1X) (T) Magnetisk strøfelt"",""Time (s) Avvik 100s"",""Magnetic Field Strength (1X) (T) Avvik 100s"",""Time (s) Avvik 10s"",""Magnetic Field Strength (1X) (T) Avvik 10s"",""Time (s) Avvik 1s"",""Magnetic Field Strength (1X) (T) Avvik 1s"""
,,85.300,-4E-5,,,,
,,85.400,-4E-5,,,,
,,85.500,-4E-5,,,,
,,85.600,-4E-5,,,,
,,85.700,-4E-5,,,,
,,85.800,-4E-5,,,,
,,85.900,-4E-5,,,,
,,86.000,-4E-5,,,,
,,86.100,-4E-5,,,,
,,86.200,-4E-5,,,,
,,86.300,-4E-5,,,,
,,86.400,-4E-5,,,,
,,86.500,-4E-5,,,,
,,86.600,-4E-5,,,,
,,86.700,-4E-5,,,,
,,86.800,-4E-5,,,,
,,86.900,-4E-5,,,,
,,87.000,-4E-5,,,,
,,87.100,-4E-5,,,,
,,87.200,-4E-5,,,,
,,87.300,-4E-5,,,,
,,87.400,-4E-5,,,,
,,87.500,-4E-5,,,,
,,87.600,-4E-5,,,,
,,87.700,-4E-5,,,,
,,87.800,-4E-5,,,,
,,87.900,-4E-5,,,,
,,88.000,-4E-5,,,,
,,88.100,-4E-5,,,,
,,88.200,-4E-5,,,,
,,88.300,-4E-5,,,,
,,88.400,-4E-5,,,,
,,88.500,-4E-5,,,,
,,88.600,-4E-5,,,,
,,88.700,-4E-5,,,,
,,88.800,-4E-5,,,,
,,88.900,-4E-5,,,,
,,89.000,-4E-5,,,,
,,89.100,-4E-5,,,,
,,89.200,-4E-5,,,,
,,89.300,-4E-5,,,,
,,89.400,-4E-5,,,,
,,89.500,-4E-5,,,,
,,89.600,-4E-5,,,,
,,89.700,-4E-5,,,,
,,89.800,-4E-5,,,,
,,89.900,-4E-5,,,,
,,90.000,-4E-5,,,,
,,90.100,-4E-5,,,,
,,90.200,-4E-5,,,,
,,90.300,-4E-5,,,,
,,90.400,-4E-5,,,,
,,90.500,-4E-5,,,,
,,90.600,-4E-5,,,,
,,90.700,-4E-5,,,,
,,90.800,-4E-5,,,,
,,90.900,-4E-5,,,,
,,91.000,-4E-5,,,,
,,91.100,-4E-5,,,,
,,91.200,-4E-5,,,,
,,91.300,-4E-5,,,,
,,91.400,-4E-5,,,,
,,91.500,-4E-5,,,,
,,91.600,-4E-5,,,,
,,91.700,-4E-5,,,,
,,91.800,-4E-5,,,,
,,91.900,-4E-5,,,,
,,92.000,-4E-5,,,,
,,92.100,-4E-5,,,,
,,92.200,-4E-5,,,,
,,92.300,-4E-5,,,,
,,92.400,-4E-5,,,,
,,92.500,-4E-5,,,,
,,92.600,-4E-5,,,,
,,92.700,-4E-5,,,,
,,92.800,-4E-5,,,,
,,92.900,-4E-5,,,,
,,93.000,-4E-5,,,,
,,93.100,-4E-5,,,,
,,93.200,-4E-5,,,,
,,93.300,-4E-5,,,,
,,93.400,-4E-5,,,,
,,93.500,-4E-5,,,,
,,93.600,-5E-5,,,,
,,93.700,-4E-5,,,,
,,93.800,-4E-5,,,,
,,93.900,-4E-5,,,,
,,94.000,-4E-5,,,,
,,94.100,-4E-5,,,,
,,94.200,-4E-5,,,,
,,94.300,-4E-5,,,,
,,94.400,-5E-5,,,,
,,94.500,-4E-5,,,,
,,94.600,-4E-5,,,,
,,94.700,-5E-5,,,,
,,94.800,-4E-5,,,,
,,94.900,-4E-5,,,,
,,95.000,-5E-5,,,,
,,95.100,-4E-5,,,,
,,95.200,-4E-5,,,,
,,95.300,-4E-5,,,,
,,95.400,-4E-5,,,,
,,95.500,-4E-5,,,,
,,95.600,-4E-5,,,,
,,95.700,-4E-5,,,,
,,95.800,-4E-5,,,,
,,95.900,-4E-5,,,,
,,96.000,-4E-5,,,,
,,96.100,-4E-5,,,,
,,96.200,-4E-5,,,,
,,96.300,-4E-5,,,,
,,96.400,-4E-5,,,,
,,96.500,-4E-5,,,,
,,96.600,-4E-5,,,,
,,96.700,-5E-5,,,,
,,96.800,-5E-5,,,,
,,96.900,-4E-5,,,,
,,97.000,-5E-5,,,,
,,97.100,-4E-5,,,,
,,97.200,-5E-5,,,,
,,97.300,-5E-5,,,,
,,97.400,-5E-5,,,,
,,97.500,-5E-5,,,,
,,97.600,-4E-5,,,,
,,97.700,-5E-5,,,,
,,97.800,-5E-5,,,,
,,97.900,-5E-5,,,,
,,98.000,-5E-5,,,,
,,98.100,-4E-5,,,,
,,98.200,-5E-5,,,,
,,98.300,-5E-5,,,,
,,98.400,-5E-5,,,,
,,98.500,-5E-5,,,,
,,98.600,-5E-5,,,,
,,98.700,-5E-5,,,,
,,98.800,-5E-5,,,,
,,98.900,-5E-5,,,,
,,99.000,-5E-5,,,,
,,99.100,-5E-5,,,,
,,99.200,-5E-5,,,,
,,99.300,-5E-5,,,,
,,99.400,-5E-5,,,,
,,99.500,-5E-5,,,,
,,99.600,-5E-5,,,,
,,99.700,-5E-5,,,,
,,99.800,-5E-5,,,,
,,99.900,-5E-5,,,,
,,100.000,-5E-5,,,,
